Hourly measurement data supplied by UK-air on 03/03/2025,,,,,
All Data GMT hour ending,,,,,
Site Name,,Edinburgh Nicolson Street,,,
Latitude,,55.94476,,,
Longitude,,-3.183991,,,
Site Type,,Urban Traffic,,,
Zone,,Central Scotland,,,
Agglomeration,,Edinburgh Urban Area,,,
Local Authority,,Edinburgh,,,
Date,Time,Nitrogen dioxide,Sulphur dioxide,PM2.5 particulate matter (Hourly measured),PM10 particulate matter (Hourly measured)
2/26/2025,3:00:00,3.825,1.4635,3.302,6.7
2/26/2025,4:00:00,5.16375,1.39697,3.302,7.4
2/26/2025,5:00:00,8.7975,1.39697,2.83,5.6
2/26/2025,6:00:00,17.2125,1.72959,2.925,5.1
2/26/2025,7:00:00,33.46875,1.72959,3.208,5.8
2/26/2025,8:00:00,31.365,1.92915,3.113,5.4
2/26/2025,9:00:00,40.545,1.86263,3.962,6.7
2/26/2025,10:00:00,No data,1.86263,5.283,9.5
2/26/2025,11:00:00,No data,1.59654,3.585,5.7
2/26/2025,12:00:00,No data,1.92915,1.698,3.4
2/26/2025,13:00:00,34.99875,No data,3.113,5
2/26/2025,14:00:00,14.1525,No data,No data,No data
2/26/2025,15:00:00,9.945,No data,1.038,1.8
2/26/2025,16:00:00,10.51875,No data,1.132,1.9
2/26/2025,17:00:00,19.125,5.94268,1.415,2.4
2/26/2025,18:00:00,22.95,4.52353,1.792,3.3
2/26/2025,19:00:00,38.05875,1.19741,2.736,4.1
2/26/2025,20:00:00,52.4025,1.53002,6.604,9.4
2/26/2025,21:00:00,57.56625,1.66306,7.736,10.1
2/26/2025,22:00:00,55.4625,1.99568,7.642,10.1
2/26/2025,23:00:00,47.62125,1.99568,7.736,12.3
2/26/2025,24:00:00,40.73625,1.92915,6.698,8.8
2/27/2025,1:00:00,36.52875,2.04002,4.623,6.4
2/27/2025,2:00:00,22.37625,2.48351,3.019,4.2
2/27/2025,3:00:00,13.57875,2.32829,2.075,3.2
2/27/2025,4:00:00,21.8025,2.32829,1.792,2.9
2/27/2025,5:00:00,22.5675,2.26177,1.792,2.8
2/27/2025,6:00:00,29.64375,2.79395,1.792,3.4
2/27/2025,7:00:00,30.2175,2.12872,3.774,5.6
2/27/2025,8:00:00,48.195,1.99568,2.547,5
2/27/2025,9:00:00,45.70875,2.12872,2.83,6
2/27/2025,10:00:00,46.665,2.46133,3.679,9.6
2/27/2025,11:00:00,47.23875,2.12872,4.528,11
2/27/2025,12:00:00,45.32625,2.12872,4.623,14.5
2/27/2025,13:00:00,41.31,1.92915,4.151,12.4
2/27/2025,14:00:00,40.1625,1.59654,4.623,13.3
2/27/2025,15:00:00,45.32625,1.79611,3.962,12.3
2/27/2025,16:00:00,41.50125,1.59654,3.962,10.5
2/27/2025,17:00:00,44.56125,1.92915,4.717,13
2/27/2025,18:00:00,38.25,1.86263,3.868,9.5
2/27/2025,19:00:00,44.94375,1.79611,4.151,8.3
2/27/2025,20:00:00,46.47375,1.53002,4.151,7.2
2/27/2025,21:00:00,38.6325,1.53002,3.962,6.4
2/27/2025,22:00:00,33.46875,1.72959,4.057,6.7
2/27/2025,23:00:00,32.70375,1.53002,3.774,7.2
2/27/2025,24:00:00,30.02625,1.19741,4.151,7.7
2/28/2025,1:00:00,15.49125,0.88697,3.774,7.4
2/28/2025,2:00:00,14.72625,0.79827,3.585,7.3
2/28/2025,3:00:00,8.60625,1.06436,3.208,6.8
2/28/2025,4:00:00,15.49125,1.19741,3.113,6.1
2/28/2025,5:00:00,23.14125,1.53002,3.302,6.1
2/28/2025,6:00:00,20.08125,1.53002,2.925,5.6
2/28/2025,7:00:00,39.015,1.59654,2.925,4.9
2/28/2025,8:00:00,66.9375,1.79611,3.962,5.9
2/28/2025,9:00:00,64.6425,1.92915,4.623,7.2
2/28/2025,10:00:00,43.41375,1.4635,4.623,7.5
2/28/2025,11:00:00,50.1075,1.4635,5,9.2
2/28/2025,12:00:00,41.31,1.79611,6.132,14.6
2/28/2025,13:00:00,17.9775,1.26393,2.736,10.8
2/28/2025,14:00:00,17.595,1.33045,2.359,7.2
2/28/2025,15:00:00,23.52375,1.33045,2.453,6.1
2/28/2025,16:00:00,21.42,1.26393,3.019,5.7
2/28/2025,17:00:00,21.61125,1.33045,2.925,5.7
2/28/2025,18:00:00,22.185,1.4635,4.151,7.1
2/28/2025,19:00:00,23.14125,1.26393,5.66,8.3
2/28/2025,20:00:00,17.595,1.19741,5.283,7.4
2/28/2025,21:00:00,16.4475,1.39697,5.472,7.8
2/28/2025,22:00:00,16.63875,1.53002,5.566,7.2
2/28/2025,23:00:00,14.34375,1.53002,4.906,6.9
2/28/2025,24:00:00,12.6225,1.26393,4.434,6.6
,,,,,
,,,,,
,,,,,
End,,,,,
